oid,name,repeating,is_reference_data,sas_dataset_name,origin,purpose,comment,sdtm_domains,translated_texts,aliases
G.DM.IC,Informed Consent,No,No,DEMOG,Collected Value,Tabulation,,DM||DS,Description::en::Informed Consent item group||osb:CompletionInstructions::en::Please complete the Informed Consent item group  before any other information||osb:DisplayText::en::Informed Consent (Inf Cons),"Sdtm::Note: If multiple Informed Consent dates are availables, then the latest date is RFICDTC||Sdtm::Note: [SUbJECT_INFO_2] - Non-repeating||Sdtm::DS:DSCAT=PROTOCOL MILESTONE||Sdtm::DS:DSDECOD=INFORMED CONSENT OBTAINED"
G.DM.DM,General Demography,No,No,DEMOG,Collected Value,Tabulation,,DM,Description::en::General Demographic item group||osb:CompletionInstructions::en::Please complete this General Demographic item group  at the very beginning of the study,
G.MH.NS,Any conditions / illnesses,No,No,MEDHIS,Collected Value,Tabulation,,MH,Description::en::Any conditions / illnesses ?||osb:CompletionInstructions::en::Please state if there was any conditions / Illnesses,
G.MH.CM,Medical History / Concomitant Illness,Yes,No,MEDHIS,Collected Value,Tabulation,,MH,Description::en::Medical History item group||osb:CompletionInstructions::en::Please complete this Medical History item group before starting the treatment,
G.VS.VS,Vital Signs,Yes,No,VITALSIGNS,Collected Value,Tabulation,,VS,Description::en::Vital signs||osb:CompletionInstructions::en::Please complete the Vital Signs item group at each expected time point,
G.VS.BPP,Blood pressure and pulse,No,No,VITALSIGNSBPP,Collected Value,Tabulation,,VS,Description::en::Blood pressure and pulse||osb:CompletionInstructions::en::Please complete the Blood pressure and Pulse item group at each expected time point,
G.EG.ECGSTATUS,Is teh ECG,No,No,ECGSTATUS,Collected Value,Tabulation,,EG,Description::en::ECG Test Results||osb:CompletionInstructions::en::Please complete the ECG Test Results item group at each expected time point,
ImportedInstance_G_1,Acute Kidney Injury - Acute Urinary Tract Infection,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_2,Acute Kidney Injury -  Aminoglycoside(s),No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_3,Acute Kidney Injury - Chronic Urinary Tract Infection,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_4,Acute Kidney Injury - Conditions,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_5,Acute Kidney Injury - Conditions Other,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_6,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_7,Acute Kidney Injury - CT Scan Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_8,Acute Kidney Injury - Family History of Kidney Disease,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_9,Acute Kidney Injury - Hypertension,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_10,Acute Kidney Injury - Other Imaging Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_11,Acute Kidney Injury - Imaging Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_12,Acute Kidney Injury - Summary of Imaging Results,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_13,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_14,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_15,Acute Kidney Injury - Initiation of RAS Blockade,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_16,Acute Kidney Injury - IV Contrast,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_17,Acute Kidney Injury - Summary of Biopsy Histology Results,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_18,Acute Kidney Injury - Kidney Biopsy Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_19,Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_20,Acute Kidney Injury - Nephrotoxic Treatment Other,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_21,Acute Kidney Injury - NSAIDs,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_22,Acute Kidney Injury - Post-Renal Obstructive Disease,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_23,Acute Kidney Injury - Present Other,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_24,Acute Kidney Injury - Primary Glomerulonephritis,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_25,Acute Kidney Injury - Progression of Chronic Kidney Disease,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_26,Acute Kidney Injury - Recent Streptococcal Infection,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_27,Acute Kidney Injury - Renal Angio-Imaging Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_28,Acute Kidney Injury - Renal Artery Stenosis,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_29,Acute Kidney Injury - Renal Vein Thrombosis,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_30,Acute Kidney Injury - Systemic Autoimmune Disease,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_31,Acute Kidney Injury - Ultrasound Performed,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_32,Acute Kidney Injury - Urine Volume < 0.5 mL/kg/h for 6 Hours,No,No,,Collected Value,Tabulation,,FA,,a::Group aliases
ImportedInstance_G_33,Adjudication Outcome,No,No,,Collected Value,Tabulation,,ZA,,a::Group aliases
ImportedInstance_G_34,"Albumin, AE Requiring Additional Data",No,No,,Collected Value,Tabulation,,LB,"Description::en::Not all activity items included, see design notes||osb:DesignNotes::en::Unused activity items: molecular_weight  ",a::Group aliases
