item_group_oid,form_oid,order_number,mandatory,collection_exception_condition_oid
G.DM.IC,F.DM,1,Yes,
G.DM.DM,F.DM,2,Yes,
G.MH.NS,F.MH,1,Yes,
G.MH.CM,F.MH,2,Yes,
G.VS.VS,F.VS,1,Yes,
G.VS.BPP,F.VS,2,Yes,
ImportedInstance_G_1,ImportedInstance_F_AE_Requiring_Additional_Data,2,Yes,
ImportedInstance_G_2,ImportedInstance_F_AE_Requiring_Additional_Data,3,Yes,
ImportedInstance_G_3,ImportedInstance_F_AE_Requiring_Additional_Data,4,Yes,
ImportedInstance_G_4,ImportedInstance_F_AE_Requiring_Additional_Data,5,Yes,
ImportedInstance_G_5,ImportedInstance_F_AE_Requiring_Additional_Data,6,Yes,
ImportedInstance_G_6,ImportedInstance_F_AE_Requiring_Additional_Data,7,Yes,
ImportedInstance_G_7,ImportedInstance_F_AE_Requiring_Additional_Data,8,Yes,
ImportedInstance_G_8,ImportedInstance_F_AE_Requiring_Additional_Data,9,Yes,
ImportedInstance_G_9,ImportedInstance_F_AE_Requiring_Additional_Data,10,Yes,
ImportedInstance_G_10,ImportedInstance_F_AE_Requiring_Additional_Data,11,Yes,
ImportedInstance_G_11,ImportedInstance_F_AE_Requiring_Additional_Data,12,Yes,
ImportedInstance_G_12,ImportedInstance_F_AE_Requiring_Additional_Data,13,Yes,
ImportedInstance_G_13,ImportedInstance_F_AE_Requiring_Additional_Data,14,Yes,
ImportedInstance_G_14,ImportedInstance_F_AE_Requiring_Additional_Data,15,Yes,
ImportedInstance_G_15,ImportedInstance_F_AE_Requiring_Additional_Data,16,Yes,
ImportedInstance_G_16,ImportedInstance_F_AE_Requiring_Additional_Data,17,Yes,
ImportedInstance_G_17,ImportedInstance_F_AE_Requiring_Additional_Data,18,Yes,
ImportedInstance_G_18,ImportedInstance_F_AE_Requiring_Additional_Data,19,Yes,
ImportedInstance_G_19,ImportedInstance_F_AE_Requiring_Additional_Data,20,Yes,
ImportedInstance_G_20,ImportedInstance_F_AE_Requiring_Additional_Data,21,Yes,
ImportedInstance_G_21,ImportedInstance_F_AE_Requiring_Additional_Data,22,Yes,
ImportedInstance_G_22,ImportedInstance_F_AE_Requiring_Additional_Data,23,Yes,
ImportedInstance_G_23,ImportedInstance_F_AE_Requiring_Additional_Data,24,Yes,
ImportedInstance_G_24,ImportedInstance_F_AE_Requiring_Additional_Data,25,Yes,
ImportedInstance_G_25,ImportedInstance_F_AE_Requiring_Additional_Data,26,Yes,
ImportedInstance_G_26,ImportedInstance_F_AE_Requiring_Additional_Data,27,Yes,
ImportedInstance_G_27,ImportedInstance_F_AE_Requiring_Additional_Data,28,Yes,
ImportedInstance_G_28,ImportedInstance_F_AE_Requiring_Additional_Data,29,Yes,
ImportedInstance_G_29,ImportedInstance_F_AE_Requiring_Additional_Data,30,Yes,
ImportedInstance_G_30,ImportedInstance_F_AE_Requiring_Additional_Data,31,Yes,
ImportedInstance_G_31,ImportedInstance_F_AE_Requiring_Additional_Data,32,Yes,
ImportedInstance_G_32,ImportedInstance_F_AE_Requiring_Additional_Data,33,Yes,
ImportedInstance_G_33,ImportedInstance_F_Event_Adjudication,34,Yes,
ImportedInstance_G_34,ImportedInstance_F_AE_Requiring_Additional_Data,36,Yes,
ImportedInstance_G_35,ImportedInstance_F_AE_Requiring_Additional_Data,37,Yes,
ImportedInstance_G_36,ImportedInstance_F_AE_Requiring_Additional_Data,38,Yes,
ImportedInstance_G_37,ImportedInstance_F_Laboratory_Assessments,39,Yes,
ImportedInstance_G_38,ImportedInstance_F_Laboratory_Assessments,40,Yes,
ImportedInstance_G_39,ImportedInstance_F_Laboratory_Assessments,41,Yes,
ImportedInstance_G_40,ImportedInstance_F_AE_Requiring_Additional_Data,42,Yes,
ImportedInstance_G_41,ImportedInstance_F_AE_Requiring_Additional_Data,43,Yes,
ImportedInstance_G_42,ImportedInstance_F_Laboratory_Assessments,44,Yes,
ImportedInstance_G_43,ImportedInstance_F_AE_Requiring_Additional_Data,45,Yes,
