oid,name,prompt,datatype,length,significant_digits,sas_field_name,sds_var_name,origin,comment,unit_definitions,external_question,codelist_submission_value,terms,translated_texts,aliases
I.STUDYID1,Study ID,StudyID,string,11,0,STUDYID,STUDYID,Protocol Value,,,,,,"Description::en::Study Identifier||osb:CompletionInstructions::en::Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission.",
I.STUDYID2,Study ID,StudyID,string,11,0,STUDYID,STUDYID,Protocol Value,,,,,,"Description::en::Study Identifier||osb:CompletionInstructions::en::Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission.",
I.STUDYID3,Study ID,StudyID,string,11,0,STUDYID,STUDYID,Protocol Value,,,,,,"Description::en::Study Identifier||osb:CompletionInstructions::en::Although this field is not typically captured on a CRF, it should be displayed clearly on the CRF and/or the EDC system. This field can be included into the database or populated during SDTM-based dataset creation before submission.",
I.RFICDAT,Date informed consent obtained,Date informed consent obtained,date,,0,RFICDAT,DM:RFICDTC|DS:DSSTDTC,Collected Value,,,,,,Description::en::Informed Consent DATE||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,Sdtm::DS:DSTERM=INFORMED CONSENT OBTAINED
I.RFICTIM,Time informed consent obtained,Time informed consent obtained,time,,0,RFICTIM,DM:RFICDTC|DS:DSSTDTC,Collected Value,,,,,,Description::en::Informed Consent time||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,Sdtm::DS:DSTERM=INFORMED CONSENT OBTAINED
I.RFICDATLAR1,Date informed consent obtained by Parents/Legally Acceptable Representative (LAR) [de-activated],,date,,0,RFICDAT,DM:RFICDTC|DS:DSSTDTC,Collected Value,,,,,,Description::en::Informed Consent Date (Legal or authorised representative 1)||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,Sdtm::DS:DSTERM=LEGAL OR AUTHORISED REPRESENTATIVE 1
I.RFICTIMLAR1,Informed Consent TIME obtained by Parents/Legally Acceptable Representative (LAR) [de-activated],,time,,0,RFICTIM,"RFICDTC, DSSTDTC",Collected Value,,,,,,Description::en::Informed Consent Time (Legal or authorised representative 1)||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,
I.RFICDATLAR2,Date informed consent obtained by Parents/Legally Acceptable Representative (LAR) Only to be completed in countries where Informed Consent from both parents is required [de-activated],,date,,0,RFICDAT,DM:RFICDTC|DS:DSSTDTC,Collected Value,,,,,,Description::en::Informed Consent DATE (Legal or authorised representative 2)||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,Sdtm::DS:DSTERM=LEGAL OR AUTHORISED REPRESENTATIVE 2
I.RFICTIMLAR2,Informed Consent Time obtained by Parents/Legally Acceptable Representative (LAR) Only to be completed in countries where Informed Consent from both parents is required [de-activated],,time,,0,RFICTIM,"RFICDTC, DSSTDTC",Collected Value,,,,,,Description::en::Informed Consent Time (Legal or authorised representative 2)||osb:CompletionInstructions::en::This will be the same information on informed consent used in the SDTM Disposition domain,
I.BRTHDTCARGUS,Date of birth (only for Argus interface) [hidden],DOB,date,,0,BRTHDAT,BRTHDTC,Collected Value,,,,,,Description::en::Date of birth (only for Argus interface) [hidden],
I.BRTHDTC,Date of birth,DOB,date,,0,BRTHDAT,DM:BRTHDTC,Collected Value,,,,,,"Description::en::Date of birth||osb:CompletionInstructions::en::If collected, please provide the most complete Date of birth",
I.SEX,Sex [read-only],Sex,string,15,0,SEX,DM:SEX,Collected Value,,,,SEX,M||F,Description::en::Sex [read-only],
I.SEXDEA,Sex [de-activated],Sex,string,15,0,SEX,SEX,Protocol Value,,,,SEX,M||F,"Description::en::Sex [de-activated],'Male' or 'Female' to be defaulted",
I.ETHNIC,Ethnicity,Etnicity,string,20,0,ETHNIC,DM:ETHNIC,Collected Value,,,,ETHNIC,HISPANIC OR LATINO||NOT HISPANIC OR LATINO,Description::en::Ethnicity,
I.RACE,Race,Race,string,40,0,RACE,DM:RACE,Collected Value,,,,RACE,AMERICAN INDIAN OR ALASKA NATIVE||ASIAN||BLACK OR AFRICAN AMERICAN||NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER||WHITE,Description::en::Race,
I.AGE,Age,Age,integer,3,0,AGE,AGE,Collected Value,68,,,,,Description::en::Age||osb:CompletionInstructions::en::The Age could be derived from the Date of Birth,"Sdtm::Note: RACE, When more than one selected, RACE=MULTIPLE and individual responses are RACE1, RACE2, etc. in SUPPDM"
I.RACEOTH,Race other,Race other,string,40,0,RACEOTH,RACEOTH in SUPPDM,Collected Value,,,,,,Description::en::Race other,osb:indentLevel::1
I.SUBJID1,Subject No. [read-only],Subject No,string,10,0,SUBJID,SUBJID,Collected Value,,,,,,Description::en::Subject No.,
I.SUBJID2,Subject No. [read-only],Subject No,string,10,0,SUBJID,SUBJID,Collected Value,,,,,,Description::en::Subject No.,
I.SUBJID3,Subject No. [read-only],Subject No,string,10,0,SUBJID,SUBJID,Collected Value,,,,,,Description::en::Subject No.,
