item_oid,activity_instance_name,activity_item_class_name,order,primary,preset_response_value,value_condition,value_dependent_map
I.SYSBP,Systolic Blood Pressure,test_name,1,No,,,
I.SYSBP,Systolic Blood Pressure,test_code,2,No,,,
I.SYSBP,Systolic Blood Pressure,standard_unit,3,No,,,
I.LATERALITY,Systolic Blood Pressure,laterality,4,No,,,
I.DIABP,Diastolic Blood Pressure,test_name,1,No,,,
I.DIABP,Diastolic Blood Pressure,test_code,2,No,,,
I.DIABP,Diastolic Blood Pressure,standard_unit,3,No,,,
I.LATERALITY,Diastolic Blood Pressure,laterality,4,No,,,
ImportedInstance_Item_1,Acute Kidney Injury - Acute Urinary Tract Infection,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_2,Acute Kidney Injury -  Aminoglycoside(s),categoric_finding_original_result,1,No,,,
ImportedInstance_Item_3,Acute Kidney Injury - Chronic Urinary Tract Infection,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_4,Acute Kidney Injury - Conditions,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_5,Acute Kidney Injury - Conditions Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_6,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_7,Acute Kidney Injury - CT Scan Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_8,Acute Kidney Injury - Family History of Kidney Disease,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_9,Acute Kidney Injury - Hypertension,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_10,Acute Kidney Injury - Other Imaging Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_11,Acute Kidney Injury - Imaging Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_12,Acute Kidney Injury - Summary of Imaging Results,textual_finding_original_result,1,No,,,
ImportedInstance_Item_13,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_14,Acute Kidney Injury - Increase Serum Creat >= 0.3 mg/dL Within 48 Hours,specimen,2,No,,,
ImportedInstance_Item_15,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_16,Acute Kidney Injury - Increase Serum Creat >= 1.5 Times Baseline Within 7 Days,specimen,2,No,,,
ImportedInstance_Item_17,Acute Kidney Injury - Initiation of RAS Blockade,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_18,Acute Kidney Injury - IV Contrast,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_19,Acute Kidney Injury - Summary of Biopsy Histology Results,textual_finding_original_result,1,No,,,
ImportedInstance_Item_20,Acute Kidney Injury - Kidney Biopsy Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_21,Acute Kidney Injury - Nephrotoxic Treatment Received Within Last 3 Months,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_22,Acute Kidney Injury - Nephrotoxic Treatment Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_23,Acute Kidney Injury - NSAIDs,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_24,Acute Kidney Injury - Post-Renal Obstructive Disease,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_25,Acute Kidney Injury - Present Other,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_26,Acute Kidney Injury - Primary Glomerulonephritis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_27,Acute Kidney Injury - Progression of Chronic Kidney Disease,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_28,Acute Kidney Injury - Recent Streptococcal Infection,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_29,Acute Kidney Injury - Renal Angio-Imaging Performed,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_30,Acute Kidney Injury - Renal Artery Stenosis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_31,Acute Kidney Injury - Renal Vein Thrombosis,categoric_finding_original_result,1,No,,,
ImportedInstance_Item_32,Acute Kidney Injury - Systemic Autoimmune Disease,categoric_finding_original_result,1,No,,,
