item_oid,item_group_oid,order_number,mandatory,key_sequence,method_oid,imputation_method_oid,role,role_codelist_oid,collection_exception_condition_oid
I.STUDYID1,G.DM.IC,1,Yes,,,,,,
I.RFICDAT,G.DM.IC,2,Yes,,,,,,
I.RFICTIM,G.DM.IC,3,Yes,,,,,,
I.RFICDATLAR1,G.DM.IC,4,No,,,,,,
I.RFICTIMLAR1,G.DM.IC,5,No,,,,,,
I.RFICDATLAR2,G.DM.IC,6,No,,,,,,
I.RFICTIMLAR2,G.DM.IC,7,No,,,,,,
I.BRTHDTCARGUS,G.DM.DM,1,Yes,,,,,,
I.BRTHDTC,G.DM.DM,2,Yes,,,,,,
I.AGE,G.DM.DM,3,Yes,,,,,,
I.SEX,G.DM.DM,4,No,,,,,,
I.SEXDEA,G.DM.DM,5,Yes,,,,,,
I.ETHNIC,G.DM.DM,6,Yes,,,,,,
I.RACE,G.DM.DM,7,Yes,,,,,,
I.RACEOTH,G.DM.DM,8,No,,,,,,
I.SUBJID1,G.DM.DM,9,Yes,,,,,,
I.PREVSUBJ,G.DM.DM,10,No,,,,,,
I.STUDYID2,G.MH.NS,1,Yes,,,,,,
I.SUBJID2,G.MH.NS,2,Yes,,,,,,
I.STUDYID3,G.VS.VS,1,Yes,,,,,,
I.SUBJID3,G.VS.VS,2,Yes,,,,,,
I.VSDAT,G.VS.VS,3,Yes,,,,,,
I.SYSBP,G.VS.BPP,1,Yes,,,,,,
I.DIABP,G.VS.BPP,2,Yes,,,,,,
I.POSITION,G.VS.BPP,3,Yes,,,,,,
I.LATERALITY,G.VS.BPP,4,Yes,,,,,,
I.LOC,G.VS.BPP,5,Yes,,,,,,
I.PULSE,G.VS.BPP,6,Yes,,,,,,
ImportedInstance_Item_1,ImportedInstance_G_1,1,No,,,,,,
ImportedInstance_Item_2,ImportedInstance_G_2,1,No,,,,,,
ImportedInstance_Item_3,ImportedInstance_G_3,1,No,,,,,,
ImportedInstance_Item_4,ImportedInstance_G_4,1,No,,,,,,
ImportedInstance_Item_5,ImportedInstance_G_5,1,No,,,,,,
ImportedInstance_Item_6,ImportedInstance_G_6,1,No,,,,,,
ImportedInstance_Item_7,ImportedInstance_G_7,1,No,,,,,,
ImportedInstance_Item_8,ImportedInstance_G_8,1,No,,,,,,
ImportedInstance_Item_9,ImportedInstance_G_9,1,No,,,,,,
ImportedInstance_Item_10,ImportedInstance_G_10,1,No,,,,,,
ImportedInstance_Item_11,ImportedInstance_G_11,1,No,,,,,,
ImportedInstance_Item_12,ImportedInstance_G_12,1,No,,,,,,
ImportedInstance_Item_13,ImportedInstance_G_13,1,No,,,,,,
ImportedInstance_Item_14,ImportedInstance_G_13,2,No,,,,,,
ImportedInstance_Item_15,ImportedInstance_G_14,1,No,,,,,,
ImportedInstance_Item_16,ImportedInstance_G_14,2,No,,,,,,
ImportedInstance_Item_17,ImportedInstance_G_15,1,No,,,,,,
ImportedInstance_Item_18,ImportedInstance_G_16,1,No,,,,,,
ImportedInstance_Item_19,ImportedInstance_G_17,1,No,,,,,,
ImportedInstance_Item_20,ImportedInstance_G_18,1,No,,,,,,
ImportedInstance_Item_21,ImportedInstance_G_19,1,No,,,,,,
ImportedInstance_Item_22,ImportedInstance_G_20,1,No,,,,,,
ImportedInstance_Item_23,ImportedInstance_G_21,1,No,,,,,,
ImportedInstance_Item_24,ImportedInstance_G_22,1,No,,,,,,
ImportedInstance_Item_25,ImportedInstance_G_23,1,No,,,,,,
ImportedInstance_Item_26,ImportedInstance_G_24,1,No,,,,,,
ImportedInstance_Item_27,ImportedInstance_G_25,1,No,,,,,,
ImportedInstance_Item_28,ImportedInstance_G_26,1,No,,,,,,
ImportedInstance_Item_29,ImportedInstance_G_27,1,No,,,,,,
ImportedInstance_Item_30,ImportedInstance_G_28,1,No,,,,,,
ImportedInstance_Item_31,ImportedInstance_G_29,1,No,,,,,,
ImportedInstance_Item_32,ImportedInstance_G_30,1,No,,,,,,
ImportedInstance_Item_33,ImportedInstance_G_31,1,No,,,,,,
ImportedInstance_Item_34,ImportedInstance_G_32,1,No,,,,,,
ImportedInstance_Item_35,ImportedInstance_G_32,2,No,,,,,,
ImportedInstance_Item_36,ImportedInstance_G_33,1,No,,,,,,
ImportedInstance_Item_37,ImportedInstance_G_34,1,No,,,,,,
ImportedInstance_Item_38,ImportedInstance_G_35,1,No,,,,,,
ImportedInstance_Item_39,ImportedInstance_G_35,2,No,,,,,,
ImportedInstance_Item_40,ImportedInstance_G_36,1,No,,,,,,
ImportedInstance_Item_41,ImportedInstance_G_37,1,No,,,,,,
ImportedInstance_Item_42,ImportedInstance_G_37,2,No,,,,,,
ImportedInstance_Item_43,ImportedInstance_G_38,1,No,,,,,,
ImportedInstance_Item_44,ImportedInstance_G_38,2,No,,,,,,
ImportedInstance_Item_45,ImportedInstance_G_39,1,No,,,,,,
ImportedInstance_Item_46,ImportedInstance_G_39,2,No,,,,,,
ImportedInstance_Item_47,ImportedInstance_G_40,1,No,,,,,,
ImportedInstance_Item_48,ImportedInstance_G_41,1,No,,,,,,
ImportedInstance_Item_49,ImportedInstance_G_42,1,No,,,,,,
ImportedInstance_Item_50,ImportedInstance_G_42,2,No,,,,,,
ImportedInstance_Item_51,ImportedInstance_G_43,1,No,,,,,,
ImportedInstance_Item_52,ImportedInstance_G_44,1,No,,,,,,
ImportedInstance_Item_53,ImportedInstance_G_44,2,No,,,,,,
ImportedInstance_Item_54,ImportedInstance_G_45,1,No,,,,,,
ImportedInstance_Item_55,ImportedInstance_G_45,2,No,,,,,,
ImportedInstance_Item_56,ImportedInstance_G_46,1,No,,,,,,
ImportedInstance_Item_57,ImportedInstance_G_47,1,No,,,,,,
ImportedInstance_Item_58,ImportedInstance_G_47,2,No,,,,,,
ImportedInstance_Item_59,ImportedInstance_G_48,1,No,,,,,,
ImportedInstance_Item_60,ImportedInstance_G_49,1,No,,,,,,
ImportedInstance_Item_61,ImportedInstance_G_50,1,No,,,,,,
ImportedInstance_Item_62,ImportedInstance_G_51,1,No,,,,,,
ImportedInstance_Item_63,ImportedInstance_G_52,1,No,,,,,,
ImportedInstance_Item_64,ImportedInstance_G_52,2,No,,,,,,
ImportedInstance_Item_65,ImportedInstance_G_53,1,No,,,,,,
ImportedInstance_Item_66,ImportedInstance_G_53,2,No,,,,,,
ImportedInstance_Item_67,ImportedInstance_G_54,1,No,,,,,,
ImportedInstance_Item_68,ImportedInstance_G_54,2,No,,,,,,
ImportedInstance_Item_69,ImportedInstance_G_55,1,No,,,,,,
ImportedInstance_Item_70,ImportedInstance_G_55,2,No,,,,,,
ImportedInstance_Item_71,ImportedInstance_G_56,1,No,,,,,,
ImportedInstance_Item_72,ImportedInstance_G_56,2,No,,,,,,
ImportedInstance_Item_73,ImportedInstance_G_56,2,No,,,,,,
ImportedInstance_Item_74,ImportedInstance_G_57,1,No,,,,,,
ImportedInstance_Item_75,ImportedInstance_G_58,1,No,,,,,,
ImportedInstance_Item_76,ImportedInstance_G_58,2,No,,,,,,
ImportedInstance_Item_77,ImportedInstance_G_58,2,No,,,,,,
ImportedInstance_Item_78,ImportedInstance_G_58,2,No,,,,,,
ImportedInstance_Item_79,ImportedInstance_G_59,1,No,,,,,,
ImportedInstance_Item_80,ImportedInstance_G_59,2,No,,,,,,
ImportedInstance_Item_81,ImportedInstance_G_59,2,No,,,,,,
ImportedInstance_Item_82,ImportedInstance_G_59,2,No,,,,,,
ImportedInstance_Item_83,ImportedInstance_G_60,1,No,,,,,,
ImportedInstance_Item_84,ImportedInstance_G_61,1,No,,,,,,
ImportedInstance_Item_85,ImportedInstance_G_62,1,No,,,,,,
ImportedInstance_Item_86,ImportedInstance_G_63,1,No,,,,,,
ImportedInstance_Item_87,ImportedInstance_G_64,1,No,,,,,,
ImportedInstance_Item_88,ImportedInstance_G_65,1,No,,,,,,
ImportedInstance_Item_89,ImportedInstance_G_66,1,No,,,,,,
ImportedInstance_Item_90,ImportedInstance_G_66,2,No,,,,,,
ImportedInstance_Item_91,ImportedInstance_G_67,1,No,,,,,,
ImportedInstance_Item_92,ImportedInstance_G_68,1,No,,,,,,
ImportedInstance_Item_93,ImportedInstance_G_68,2,No,,,,,,
ImportedInstance_Item_94,ImportedInstance_G_69,1,No,,,,,,
ImportedInstance_Item_95,ImportedInstance_G_70,1,No,,,,,,
ImportedInstance_Item_96,ImportedInstance_G_70,2,No,,,,,,
ImportedInstance_Item_97,ImportedInstance_G_71,1,No,,,,,,
ImportedInstance_Item_98,ImportedInstance_G_71,2,No,,,,,,
ImportedInstance_Item_99,ImportedInstance_G_72,1,No,,,,,,
ImportedInstance_Item_100,ImportedInstance_G_73,1,No,,,,,,
ImportedInstance_Item_101,ImportedInstance_G_73,2,No,,,,,,
