variable_name,label,description_and_notes,simple_datatype,xml_datatype,limited_to_domains,limited_to_classes,codelist_reference,external_dictionary,role,qualifying_variables,sources,used_in_domains
ACIGD,Active Ingredients,The name(s) of the active ingredients used in the medication taken or administered.,Char,string,,Interventions,,,Non-Standard Variable Qualifier,,CDASHIG vX.Y,
ADMDEV,Administration Device,"Response value of device used for data collection, either in the protocol, or study documents",Char,string,FT (Functional Tests) QS (Questionnaires) RS (Disease Response and Clin Classification),Findings,,,Non-Standard Record Qualifier,,QRS: ADCS-ADL MCI v1.0,
ADMODP,Administration Mode of Presentation,"Response value for how the instrument was presented to the subject as defined in a protocol, or study documents",Char,string,FT (Functional Tests) QS (Questionnaires) RS (Disease Response and Clin Classification),Findings,,,Non-Standard Record Qualifier,,QRS: ADCS-ADL MCI v1.0,
AFFPER,Affected Performance,"For a complete trial, record any circumstances that affected the patient’s performance:",Char,string,FT (Functional Tests),Findings,,,Non-Standard Result Qualifier,,QRS: NHPT v1.0 QRS: PASAT v1.0 QRS: T25FW v1.0,FT (Functional Tests)
ANTPLN,Anatomical Plane,The position and orientation of the image slice relative to the patient-based coordinate system.,Char,string,TU (Tumor/Lesion Identification),,,,Non-Standard Record Qualifier,,QRS: RECIST V1.1 v1.0,TU (Tumor/Lesion Identification)
ANVLHI,Anchor Numeric Value High,"The numeric value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Num,float,,Findings,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v2.0,FA (Findings About Events or Interventions)
ANVLHI,Anchor Numeric Value High,"The numeric value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Num,float,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,QRS: PI v2.0,QS (Questionnaires)
ANVLLO,Anchor Numeric Value Low,"The numeric value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Num,float,,Findings,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v2.0,FA (Findings About Events or Interventions)
ANVLLO,Anchor Numeric Value Low,"The numeric value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Num,float,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,QRS: PI v2.0,QS (Questionnaires)
ANTXHI,Anchor Text High,"The text value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v2.0,FA (Findings About Events or Interventions)
ANTXHI,Anchor Text High,"The text value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,UG-Pediatrics v1.0,FA (Findings About Events or Interventions)
ANTXHI,Anchor Text High,"The text value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,TAUG-Crohn's Disease v1.0,FA (Findings About Events or Interventions)
ANTXHI,Anchor Text High,"The text value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v1.0,FA (Findings About Events or Interventions)
ANTXHI,Anchor Text High,"The text value of the highest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TEST;--TESTCD,TAUG-Psoriasis v1.0,FA (Findings About Events or Interventions)
ANTXLO,Anchor Text Low,"The text value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v2.0,FA (Findings About Events or Interventions)
ANTXLO,Anchor Text Low,"The text value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,UG-Pediatrics v1.0,FA (Findings About Events or Interventions)
ANTXLO,Anchor Text Low,"The text value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TESTCD,TAUG-Crohn's Disease v1.0,FA (Findings About Events or Interventions)
ANTXLO,Anchor Text Low,"The text value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,,Instrument Specific,,Non-Standard Variable Qualifier,--TESTCD,TAUG-COVID-19 v1.0,FA (Findings About Events or Interventions)
ANTXLO,Anchor Text Low,"The text value of the lowest anchor value along a continuum of values, as in the visual analog scales (VAS) and numeric rating scales (NRS).",Char,string,,Findings,,,Non-Standard Variable Qualifier,--TEST;--TESTCD,TAUG-Psoriasis v1.0,FA (Findings About Events or Interventions)
APPDST,Appetite Disturbance Type,Response values on the CRF indicating the type of appetite disturbance,Char,string,RS (Disease Response and Clin Classification),Findings,,,Non-Standard Record Qualifier,,QRS: CDRS-R v1.0,RS (Disease Response and Clin Classification)
ASYDTC,Assay Date/Time,Date and time assay was performed.,Char,datetime,BS (Biospecimen Findings) GF (Genomics Findings) IS (Immunogenicity Specimen Assessments) LB (Laboratory Test Results) MB (Microbiology Specimen) MI (Microscopic Findings) MS (Microbiology Susceptibility) PC (Pharmacokinetics Concentrations) PF (Pharmacogenomics/Genetics Findings),Findings,ISO 8601,,Non-Standard Timing,,TAUG-PanCan v1.0,GF (Genomics Findings)
ASTDEV,Assistance Device,Assistive device used in the performance test.,Char,string,FT (Functional Tests),Findings,,,Non-Standard Result Qualifier,,QRS: T25FW v1.0 QRS: SIX MINUTE WALK v1.0,FT (Functional Tests)
ASLTTY,Assistance Laterality Type,Type of assisted laterality used.,Char,string,FT (Functional Tests),Findings,,,Non-Standard Result Qualifier,,QRS: T25FW v1.0 QRS: SIX MINUTE WALK v1.0,FT (Functional Tests)
ATC1CD,ATC Level 1 Code,The assigned dictionary code denoting the first level grouping from the ATC Classification System.,Char,string,,Interventions,,"Anatomical Therapeutic Chemical (ATC) classification system,",Non-Standard Variable Qualifier,ATC1,CDASHIG vX.Y,
ATC1CD,ATC Level 1 Code,The assigned dictionary code denoting the first level grouping from the ATC Classification System.,Char,string,,Interventions,,"Anatomical Therapeutic Chemical (ATC) classification system,",Non-Standard Variable Qualifier,ATC1,CDASHIG  v2.2,
ATC1,ATC Level 1 Name,The first level of grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
ATC1,ATC Level 1 Name,The first level of grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
ATC2CD,ATC Level 2 Code,The assigned dictionary code denoting the second level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC2,CDASHIG vX.Y,
ATC2CD,ATC Level 2 Code,The assigned dictionary code denoting the second level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC2,CDASHIG  v2.2,
ATC2,ATC Level 2 Name,The second level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
ATC2,ATC Level 2 Name,The second level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
ATC3CD,ATC Level 3 Code,The assigned dictionary code denoting the third level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC3,CDASHIG vX.Y,
ATC3CD,ATC Level 3 Code,The assigned dictionary code denoting the third level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC3,CDASHIG  v2.2,
ATC3,ATC Level 3 Name,The third level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
ATC3,ATC Level 3 Name,The third level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
ATC4CD,ATC Level 4 Code,The assigned dictionary code denoting the fourth level grouping from the ATC Classification System.,Char,string,,,https://www.whocc.no/atc/structure_and_principles/,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC4,CDASHIG vX.Y,
ATC4CD,ATC Level 4 Code,The assigned dictionary code denoting the fourth level grouping from the ATC Classification System.,Char,string,,,https://www.whocc.no/atc/structure_and_principles/,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC4,CDASHIG  v2.2,
ATC4,ATC Level 4 Name,The fourth level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
ATC4,ATC Level 4 Name,The fourth level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
ATC5CD,ATC Level 5 Code,The assigned dictionary code denoting the fifth level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC5,CDASHIG vX.Y,
ATC5CD,ATC Level 5 Code,The assigned dictionary code denoting the fifth level grouping from the ATC Classification System.,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,ATC5,CDASHIG  v2.2,
ATC5,ATC Level 5 Name,The fifth level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
ATC5,ATC Level 5 Name,The fifth level grouping from the Anatomical Therapeutic Chemical (ATC) Classification System,Char,string,,Interventions,,Anatomical Therapeutic Chemical (ATC) classification system,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
BDAGNT,Binding Agent,"The textual description of the agent that's binding to the entity in the --TEST variable. The --BDAGNT variable is used to indicate that there is a binding relationship between the entities in the --TEST and --BDAGNT variables, regardless of direction.",Char,string,,,,,Non-Standard Record Qualifier,,TAUG-T1D - P&D v1.0,IS (Immunogenicity Specimen Assessments)
CSTDIS,Caused Study Discontinuation,An indication as to whether the event caused the subject to discontinue from the study.,Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,--TERM,CDASHIG vX.Y,
CSTDIS,Caused Study Discontinuation,An indication as to whether the event caused the subject to discontinue from the study.,Char,string,,Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,--TERM,CDASHIG  v2.2,
CRNORD,Chronological Order,Specifies one of a group of like events by its chronological order within the evaluation interval.,Char,string,,,,,Non-Standard Timing,,TAUG-T1D-Exercise&Nutrition v1.0,ML (Meal Data)
COLAID,Collected Administrator Identifier,Response value to preprinted administrator identifier information on CRF,Char,string,FT (Functional Tests) QS (Questionnaires) RS (Disease Response and Clin Classification),Findings,,,Non-Standard Record Qualifier,,QRS: DAD v1.0,
CAGETXT,Collected Age Text,"The age of the subject at study start, expressed as descriptive text and not a range.",Char,string,DM (Demographics),Special Purpose,,,Non-Standard Record Qualifier,,CDASHIG vX.Y,DM (Demographics)
CAGETXT,Collected Age Text,"The age of the subject at study start, expressed as descriptive text and not a range.",Char,string,DM (Demographics),Special Purpose,,,Non-Standard Record Qualifier,,CDASHIG  v2.2,DM (Demographics)
CIRPD,Collected Interruption Duration,The collected length of time of the intervention interruption.,Char,string,,Interventions,,,Non-Standard Record Qualifier,,CDASHIG vX.Y,
CIRPD,Collected Interruption Duration,The collected length of time of the intervention interruption.,Char,string,,Interventions,,,Non-Standard Record Qualifier,,CDASHIG v2.3,
COLRID,Collected Respondent Identifier,Respondent response identifier entered on a CRF for the  preprinted Respondent item on CRF,Char,string,,Findings,,,Non-Standard Record Qualifier,,QRS: DAD v1.0,
COLRRL,Collected Respondent Relationship,Collected Respondent Relationship entered on a CRF for the preprinted Respondent Relationship identifier.,Char,string,,Findings,,,Non-Standard Record Qualifier,,QRS: DAD v1.0,
CSEV,Collected Severity/Intensity,"The quality or degree of harm associated with a finding or event, as collected.",Char,string,AE (Adverse Events),Events,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C165643.SEVRS"" target=""_blank"">SEVRS</a>)",,Non-Standard Record Qualifier,,UG-Pediatrics v1.0,AE (Adverse Events)
CLSDTP,Collected Summary Dose Type,Used to indicate the type of a collected summary dose. This is used for summary results collected. on a CRF or provided by an external vendor.,Char,string,CM (Concomitant/Prior Medications) EC (Exposure as Collected) EX (Exposure),Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C177908.COLSTYP"" target=""_blank"">COLSTYP</a>)",,Non-Standard Record Qualifier,TRT,TAUG-COVID-19 v2.0,CM (Concomitant/Prior Medications)
COLSDT,Collected Summary Dose Type,"Used to indicate the type of collected summary dose. This includes source summary doses collected on a CRF, or provided by an external vendor (e.g., central lab) or a device. If the summary dose is derived using individual source data records, this summary result should be represented in ADaM. If a sponsor has both a collected summary dose and a derived summary dose, the collected summary dose should be represented in SDTM and the derived summary dose should be represented in ADaM.",Char,string,,,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C177908.COLSTYP"" target=""_blank"">COLSTYP</a>)",,Non-Standard Variable Qualifier,--DOSE; --DOSTXT; --DOSTOT,TAUG-T1D - P&D v1.0,CM (Concomitant/Prior Medications)
CMPTRT,Completed Treatment,An indication of whether or not the subject completed the intended regimen.,Char,string,,Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,TRT,CDASHIG vX.Y,
CMPTRT,Completed Treatment,An indication of whether or not the subject completed the intended regimen.,Char,string,,Interventions,"(<a href=""http://evs.nci.nih.gov/ftp1/CDISC/SDTM/SDTM%20Terminology.html#CL.C66742.NY"" target=""_blank"">NY</a>)",,Non-Standard Variable Qualifier,TRT,CDASHIG  v2.2,
CBRFL,Conditional Branched Item Indicator,An indication that the QRS instrument directs the subject to another item of the instrument based on a given condition.,Char,string,FT (Functional Tests) QS (Questionnaires) RS (Disease Response and Clin Classification),,,,Non-Standard Record Qualifier,,QRS: PRO-CTCAE v1.0,FT (Functional Tests) QS (Questionnaires) RS (Disease Response and Clin Classification)
CNTMOD,Contact Mode,Mode of subject contact.,Char,string,,,C171445/CNTMODE,,Non-Standard Record Qualifier,,TAUG-CVD19-Ongo Stud v1.0,DA (Drug Accountability)
CNTRY,Country,The country in which the event or activity occurred.,Char,string,,Events Interventions,,ISO 3166-1 Alpha-3,Non-Standard Variable Qualifier,TERM; TRT,TAUG-COVID-19 v2.0,ER (Environmental and Social Factors)
