form_oid,study_event_oid,order_number,mandatory,locked,collection_exception_condition_oid
F.DM,T.ODM-1-3-2-V1,1,No,No,
F.VS,T.ODM-1-3-2-V1,1,No,No,
F.MH,T.ODM-1-3-2-V1,1,No,No,
F.IM,T.ODM-1-3-2-V1,1,No,No,
F.AE,T.ODM-1-3-2-V1,1,No,No,
F.EG,T.ODM-1-3-2-V1,1,No,No,
ImportedInstance_F_AE_Requiring_Additional_Data,imported_activity_instances,1,No,No,
ImportedInstance_F_Event_Adjudication,imported_activity_instances,1,No,No,
ImportedInstance_F_Laboratory_Assessments,imported_activity_instances,1,No,No,
ImportedInstance_F_Vital_Signs,imported_activity_instances,1,No,No,
ImportedInstance_F_Body_Measurements,imported_activity_instances,1,No,No,
ImportedInstance_F_Device,imported_activity_instances,1,No,No,
ImportedInstance_F_Childbearing_Potential,imported_activity_instances,1,No,No,
ImportedInstance_F_Demography,imported_activity_instances,1,No,No,
ImportedInstance_F_Clinical_Outcome_Assessments,imported_activity_instances,1,No,No,
