TOPIC_CD,adam_param_code,activity,activity_instance,legacy_description,sub_domain_class,molecular_weight,Assm. group,Assm. subgroup
ACUTE KIDNEY INJURY,AKI,Acute Kidney Injury,Acute Kidney Injury,Acute Kidney Injury,PERIODIC,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_ACUTE_URINARY_TRACT_INFECTION,AKIAURIN,Acute Kidney Injury Conditions,Acute Kidney Injury - Acute Urinary Tract Infection,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Acute urinary tract infection",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_AMINOGLYCOSIDE,AKIAMINO,Acute Kidney Injury Nephrotoxic Treatments,Acute Kidney Injury -  Aminoglycoside(s),"Acute Kidney Injury: Has the subject received any nephrotoxic drug(s)/agent(s) within the last 3 months.
Aminoglycoside(s)",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_CHRONIC_URINARY_TRACT_INFECTION,AKICURIN,Acute Kidney Injury Conditions,Acute Kidney Injury - Chronic Urinary Tract Infection,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Chronic urinary tract infection",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_CONDITIONS,AKICONDI,Acute Kidney Injury Conditions,Acute Kidney Injury - Conditions,Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_CONDITIONS_OTHER,AKICONOT,Acute Kidney Injury Conditions,Acute Kidney Injury - Conditions Other,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Other, specify",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_CONNECTIVE_TISSUE_DISEASE_OR_VASCULITIS,AKICTDIV,Acute Kidney Injury Conditions,Acute Kidney Injury - Connective Tissue Disease or Vasculitis,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Connective tissue disease or vasculitis",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_CT_SCAN,AKICTSCA,Acute Kidney Injury Imaging,Acute Kidney Injury - CT Scan Performed,"Acute Kidney Injury: Was imaging performed in relation to the event: 
CT Scan",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_FAMILY_HISTORY,AKIFAMHI,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury - Family History of Kidney Disease,Acute Kidney Injury: Is there any family history of kidney disease,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_HYPERTENSION,AKIHYPER,Acute Kidney Injury Conditions,Acute Kidney Injury - Hypertension,"Acute Kidney Injury: Was there evidence or suspicion of conditions which could explain or have contributed to the event: 
Hypertension",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_IMAGING_OTHER,AKIIMOTH,Acute Kidney Injury Imaging,Acute Kidney Injury - Other Imaging Performed,"Acute Kidney Injury: Was imaging performed in relation to the event: Other, specify",CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
ACUTE_KIDNEY_INJURY_IMAGING_PERFORMED,AKIIMAGE,Acute Kidney Injury Imaging,Acute Kidney Injury - Imaging Performed,Acute Kidney Injury: Was imaging performed in relation to the event,CATEGORIC FINDINGS,,AE Requiring Additional Data,Acute Kidney Injury
