ACTIVITY_INSTANCE_NAME,ACTIVITY_ITEM_CLASS_NAME,ACTIVITY_ITEM_TYPE,ACTIVITY_ITEM_VALUE,IS_ADAM_PARAM_SPECIFIC
Acute Kidney Injury,domain,terms,DOMAIN:CE,
Acute Kidney Injury,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Acute Urinary Tract Infection,categoric_finding_original_result,,,
Acute Kidney Injury - Acute Urinary Tract Infection,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Acute Urinary Tract Infection,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Acute Urinary Tract Infection,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Acute Urinary Tract Infection,test_code,terms,FATESTCD:AKIAURIN,
Acute Kidney Injury - Acute Urinary Tract Infection,test_name,terms,FATEST:AKI-Acute Urinary Tract Infection,
Acute Kidney Injury -  Aminoglycoside(s),categoric_finding_original_result,,,
Acute Kidney Injury -  Aminoglycoside(s),domain,terms,DOMAIN:FA,
Acute Kidney Injury -  Aminoglycoside(s),finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury -  Aminoglycoside(s),finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY NEPHROTOXIC TREATMENTS,
Acute Kidney Injury -  Aminoglycoside(s),test_code,terms,FATESTCD:AKIAMINO,
Acute Kidney Injury -  Aminoglycoside(s),test_name,terms,FATEST:AKI-Nephrotoxic Treatment Aminoglycoside,
Acute Kidney Injury - Chronic Urinary Tract Infection,categoric_finding_original_result,,,
Acute Kidney Injury - Chronic Urinary Tract Infection,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Chronic Urinary Tract Infection,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Chronic Urinary Tract Infection,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Chronic Urinary Tract Infection,test_code,terms,FATESTCD:AKICURIN,
Acute Kidney Injury - Chronic Urinary Tract Infection,test_name,terms,FATEST:AKI-Chronic Urinary Tract Infection,
Acute Kidney Injury - Conditions,categoric_finding_original_result,,,
Acute Kidney Injury - Conditions,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Conditions,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Conditions,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Conditions,test_code,terms,FATESTCD:AKICONDI,
Acute Kidney Injury - Conditions,test_name,terms,FATEST:AKI-Conditions,
Acute Kidney Injury - Conditions Other,categoric_finding_original_result,,,
Acute Kidney Injury - Conditions Other,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Conditions Other,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Conditions Other,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Conditions Other,test_code,terms,FATESTCD:AKICONOT,
Acute Kidney Injury - Conditions Other,test_name,terms,FATEST:AKI-Conditions Other,
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,categoric_finding_original_result,,,
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,domain,terms,DOMAIN:FA,
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,finding_category,terms,FINDCAT:AE REQUIRING ADDITIONAL DATA,
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,finding_subcategory,terms,FINDSCAT:ACUTE KIDNEY INJURY CONDITIONS,
Acute Kidney Injury - Connective Tissue Disease or Vasculitis,test_code,terms,FATESTCD:AKICTDIV,
